text,seg_label,cls_label,ner_label
各门户网站刊发了中国足协的声明：“公安机关依法对谢亚龙、李冬生、蔚少辉立案侦查，这是彻底整肃足坛、,O B I I I B I O B I I I O B I O O B I I I B I O B I I O B I I O B I I B I I I O B I B I B I B I O,体育,O O O O O O O O B-government I-government I-government I-government O O O O O B-government I-government I-government I-government O O O B-name I-name I-name O B-name I-name I-name O B-name I-name I-name O O O O O O O O O O O O O O
检察机关多渠道获取对原中国足协副主席谢亚龙、原中国足协裁判委员会主任李冬生、,B I I I B I I B I B I B I I I B I I B I I O O B I I I I I I I I B I B I I O,体育,B-government I-government I-government I-government O O O O O O O B-organization I-organization I-organization I-organization B-position I-position I-position B-name I-name I-name O O B-organization I-organization I-organization I-organization I-organization I-organization I-organization I-organization I-organization B-position I-position B-name I-name I-name O
警方证实谢亚龙等被立案侦查》一文：“在侦办涉嫌利用足球比赛贿赂、赌博系列案件中，公安、,B I B I B I I O O B I I I O B I O O O B I B I B I B I I I B I O B I B I B I O O B I O,体育,O O O O B-name I-name I-name O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-government I-government O
曾在博恩茅斯作为助理教练辅佐老雷德克纳普，10年前老雷转投南安普顿时开始担任博恩茅斯主教练，,O O B I I I B I B I I I B I B I I I I I O O O B I B I I O B I I I O B I B I B I I I B I I O,体育,O O B-organization I-organization I-organization I-organization O O B-position I-position I-position I-position O O B-name I-name I-name I-name I-name I-name O O O O O B-name I-name O O B-organization I-organization I-organization I-organization O O O O O B-organization I-organization I-organization I-organization B-position I-position I-position O
原国家足球队领队蔚少辉等人涉案的线索和举报。在国家体育总局的配合下，专案组已依法对谢亚龙、李冬生、,O B I I I I B I B I I O O B I O B I O B I O O B I I I I I O B I O O B I I O B I O B I I O B I I O,体育,O B-organization I-organization I-organization I-organization I-organization B-position I-position B-name I-name I-name O O O O O O O O O O O O B-government I-government I-government I-government I-government I-government O O O O O B-government I-government I-government O O O O B-name I-name I-name O B-name I-name I-name O
否则主队绝无让球机会。观察过两队走势后发现，纽卡本赛季所有赛事的客场比赛全都不胜，,B I B I B I O O B I O B I O B I B I O B I O B I B I I B I B I O B I B I B I B I O,体育,O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization O O O O O O O O O O O O O O O O O
汉堡、斯图加特这些以往征战欧冠的球队，悉数出现在联盟杯中，,B I O B I I I B I B I B I B I O B I O B I B I O B I I I O,体育,B-organization I-organization O B-organization I-organization I-organization I-organization O O O O O O B-organization I-organization O O O O O O O O O B-organization I-organization I-organization O O
其余球队只要拿7分基本笃定晋级。相对于欧冠已有13支球队出线留下一轮垃圾时间，,B I B I B I O O O B I B I B I O B I O B I B I O O O B I B I B I B I B I B I O,体育,O O O O O O O O O O O O O O O O O O O B-organization I-organization O O O O O O O O O O O O O O O O O O
争取明年6月之后再度拿到俱乐部的续约合同，而这员老将在赫尔城的老大地位的确无人能撼。,B I B I O O B I B I B I B I I O B I B I O O B I B I O B I I O B I B I B I B I B I O,体育,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization O O O O O O O O O O O O
布莱克本对利物浦仅取得1胜7平6负的成绩，而自10月份以来，,B I I I O B I I O B I O O O O O O O B I O O O O O B I B I O,体育,B-organization I-organization I-organization I-organization O B-organization I-organization I-organization O O O O O O O O O O O O O O O O O O O O O O
其实在其他德比中，也曾多次出现“客队”战绩强于主队的情况，比如前几个赛季的米兰德比，这也说明，,B I O B I B I O O O B I I B I O B I O B I B I B I O B I O B I O B I B I O B I I I O O O B I O,体育,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization I-organization O O O O O O
佛罗伦萨都是客场对阵中下游球队，乌迪内斯和巴勒莫从实力上来说，也应该在亚特兰大和卡利亚里之上，,B I I I O O B I B I B I I B I O B I I I O B I I O B I O B I O O B I O B I I I O B I I I B I O,体育,B-organization I-organization I-organization I-organization O O O O O O O O O O O O B-organization I-organization I-organization I-organization O B-organization I-organization I-organization O O O O O O O O O O O B-organization I-organization I-organization I-organization O B-organization I-organization I-organization I-organization O O O
两队上轮联赛均告负，努曼西亚是客场0-2输给毕尔巴鄂，阿尔梅利亚则是主场0-1败给拉科，,B I B I B I O B I O B I I I O B I O O O B I B I I I O B I I I I O O B I O O O B I B I O,体育,O O O O O O O O O O B-organization I-organization I-organization I-organization O O O O O O O O B-organization I-organization I-organization I-organization O B-organization I-organization I-organization I-organization I-organization O O O O O O O O O B-organization I-organization O
这支球队没有多少大牌球星，更多的依靠是整体和团队协作，年轻的拉科对阵团结的马拉加，看好双方分出胜负。,B I B I B I B I B I B I O O O O B I O B I O B I B I O B I O B I B I B I O B I I O B I B I B I B I O,体育,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization O O O O O B-organization I-organization I-organization O O O O O O O O O O
1输给希洪之后，主帅巴托洛梅-马克斯成为本赛季西甲第4位下课的主教练，,O B I B I B I O B I B I I I I I I I B I B I I B I O O O B I O B I I O,体育,O O O B-organization I-organization O O O O O B-name I-name I-name I-name I-name I-name I-name I-name O O O O O B-organization I-organization O O O O O O B-position I-position I-position O
作为武汉市民盟调研室主任的他，在政协会议上用提案呼吁“不能痛失赛马彩票花落武汉的良机”。于是，当年“,B I B I I B I I I I B I O O O O B I I I B I B I B I O B I B I B I B I B I B I O B I O O B I O B I O,体育,O O B-address I-address I-address B-organization I-organization I-organization I-organization I-organization B-position I-position O O O O O O O O O O O O O O O O O O O O O O O O O B-address I-address O O O O O O O O O O O
桑坦德竞技vs西班牙人,B I I I I O O B I I I,体育,B-organization I-organization I-organization I-organization I-organization O O B-organization I-organization I-organization I-organization
金石开：我认为首先还是要防拉齐奥。其实之前拉齐奥取得3连胜的时候我就说过，在切沃、,B I I O O B I B I B I B I B I I O B I B I B I I B I O B I O B I O O O O O O B I O,体育,B-name I-name I-name O O O O O O O O O O B-organization I-organization I-organization O O O O O B-organization I-organization I-organization O O O O O O O O O O O O O O B-organization I-organization O
我记得上赛季热那亚客场2比1击败拉齐奥一战中，米兰内托的发挥至关重要，,O B I B I I B I I B I O O O B I B I I B I O O B I I I O B I B I I I O,体育,O O O O O O B-organization I-organization I-organization O O O O O O O B-organization I-organization I-organization O O O O B-name I-name I-name I-name O O O O O O O O
金石开：具体问题还是要具体分析，而且这场比赛的问题不在于曼城，而在于阿森纳。,B I I O B I B I B I O B I I I O B I B I B I O B I O B I B I O O B I B I I O,体育,B-name I-name I-name O O O O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization O O O O B-organization I-organization I-organization O
这是否意味着黑马赫尔城可以摆脱噩运呢？而赫尔城本轮对手朴茨茅斯，在失去雷德科纳普之后，,O B I B I I B I B I I B I B I B I O O O B I I B I B I B I I I O O B I B I I I I B I O,体育,O O O O O O O O B-organization I-organization I-organization O O O O O O O O O B-organization I-organization I-organization O O O O B-organization I-organization I-organization I-organization O O O O B-name I-name I-name I-name I-name O O O
赫塔菲进入魔鬼赛程后已经是两连败，接下来将面对巴萨、皇马和潜水艇，本轮客战巴萨双方实力差距过于明显，,B I I B I B I B I O B I O B I I O B I I O B I B I O B I O B I I O B I B I B I B I B I B I B I B I O,体育,B-organization I-organization I-organization O O O O O O O O O O O O O O O O O O O O B-organization I-organization O B-organization I-organization O B-organization I-organization I-organization O O O O O O O O O O O O O O O O O O
莱切排名比罗马高，这不是侥幸，而是一场场拼出来的。在主场他们2胜4平没输过，,B I B I O B I O O O B I B I O B I B I I B I I O O O B I B I O O O O B I O O,体育,B-organization I-organization O O O B-organization I-organization O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
希洪至今战绩非胜即负，11轮过后拿下15分，使这支升班马开始远离降级区。,B I B I B I B I O O O O O O B I B I O O O O O B I B I I B I B I B I O O,体育,B-organization I-organization O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
本场比赛维拉利尔志在拿分晋级，而曼联还需要考虑周末的曼城德比，如果周末再不赢球，,B I B I B I I I B I B I B I O O B I O B I B I B I O B I B I O B I B I O O B I O,体育,O O O O B-organization I-organization I-organization I-organization O O O O O O O O B-organization I-organization O O O O O O O O B-organization I-organization O O O O O O O O O O O O
凯尔特人无疑要比奥尔堡更有资格去打联盟杯。,B I I I B I O O B I I O O B I O O B I I O,体育,B-organization I-organization I-organization I-organization O O O O B-organization I-organization I-organization O O O O O O B-organization I-organization I-organization O
但依然还会派遣加拉斯首发领衔后防线，这等于在队内明摆一颗“定时炸弹”。没有沃尔科特边路的速度优势，,O B I B I B I B I I B I B I B I I O O B I O B I B I B I O B I I I O O B I B I I I B I O B I B I O,体育,O O O O O O O B-name I-name I-name O O O O O O O O O O O O O O O O O O O O O O O O O O O B-name I-name I-name I-name O O O O O O O O
但不要忘记他们拥有本季联赛客场7战全胜的战绩。围绕阿内尔卡为核心的地面反击战演练得非常熟练，乔-,O B I B I B I B I B I B I B I O B I I O B I O B I B I I I O B I O B I B I I B I O B I B I O B I,体育,O O O O O O O O O O O B-organization I-organization O O O O O O O O O O O O B-name I-name I-name I-name O O O O O O O O O O O O O O O O O B-name I-name
凯尔特人在苏格兰赛场连胜7场，不过连胜含金量要打折扣。双方首回合交锋奥尔堡客场逼平凯尔特人。,B I I I O B I I B I B I O O O B I B I B I I O B I I O B I B I I B I B I I B I B I B I I I O,体育,B-organization I-organization I-organization I-organization O B-organization I-organization I-organization O O O O O O O O O O O O O O O O O O O O O O O O O O B-organization I-organization I-organization O O O O B-organization I-organization I-organization I-organization O
